STATE, AGE  ,SEX,RECIPIENTS
MN   , 40-49,M  ,      4772
MN   , 50-59,F  ,      8550
MN   , 50-59,M  ,      6286
MN   , 60-64,F  ,      3566
MN   , 60-64,M  ,      2072
MN   , 65-69,F  ,      3257
MN   , 65-69,M  ,      1951
MN   , 70-74,F  ,      2879
MN   , 70-74,M  ,      1695
MN   , 75+  ,F  ,      6029
MN   , 75+  ,M  ,      2837
MO   ,  <05 ,F  ,      1549
MO   ,  <05 ,M  ,      2163
MO   , 05-12,F  ,      3587
MO   , 05-12,M  ,      7780
MO   , 13-17,F  ,      2583
MO   , 13-17,M  ,      5134
MO   , 18-21,F  ,      2840
MO   , 18-21,M  ,      4327
MO   , 22-25,F  ,      2783
MO   , 22-25,M  ,      3554
MO   , 26-29,F  ,      2816
MO   , 26-29,M  ,      3124
MO   , 30-39,F  ,      7798
MO   , 30-39,M  ,      6551
MO   , 40-49,F  ,     12833
MO   , 40-49,M  ,      8893
MO   , 50-59,F  ,     15955
MO   , 50-59,M  ,     11508
MO   , 60-64,F  ,      5673
MO   , 60-64,M  ,      3314
MO   , 65-69,F  ,      4152
MO   , 65-69,M  ,      2192
MO   , 70-74,F  ,      3054
MO   , 70-74,M  ,      1523
MO   , 75+  ,F  ,      6104
MO   , 75+  ,M  ,      2053
MP   ,  <05 ,F  ,         8
MP   ,  <05 ,M  ,        34
MP   , 05-12,F  ,        54
MP   , 05-12,M  ,       114
MP   , 13-17,F  ,        42
MP   , 13-17,M  ,        68
MP   , 18-21,F  ,        21
MP   , 18-21,M  ,        47
MP   , 22-25,F  ,        20
MP   , 22-25,M  ,        21
MP   , 26-29,F  ,         8
MP   , 26-29,M  ,        21
MP   , 30-39,F  ,        38
MP   , 30-39,M  ,        48
MP   , 40-49,F  ,        46
MP   , 40-49,M  ,        42
MP   , 50-59,F  ,        56
MP   , 50-59,M  ,        37
MP   , 60-64,F  ,        32
MP   , 60-64,M  ,        19
MP   , 65-69,F  ,        24
MP   , 65-69,M  ,        13
MP   , 70-74,F  ,        24
MP   , 70-74,M  ,        23
MP   , 75+  ,F  ,        44
MP   , 75+  ,M  ,        33
MS   ,  <05 ,F  ,      1701
MS   ,  <05 ,M  ,      2170
MS   , 05-12,F  ,      3933
MS   , 05-12,M  ,      7920
MS   , 13-17,F  ,      2723
MS   , 13-17,M  ,      5573
MS   , 18-21,F  ,      2132
MS   , 18-21,M  ,      3575
MS   , 22-25,F  ,      1841
MS   , 22-25,M  ,      2329
MS   , 26-29,F  ,      2122
MS   , 26-29,M  ,      2379
MS   , 30-39,F  ,      6745
MS   , 30-39,M  ,      5548
MS   , 40-49,F  ,     10469
MS   , 40-49,M  ,      6689
MS   , 50-59,F  ,     14341
MS   , 50-59,M  ,      8842
MS   , 60-64,F  ,      5759
MS   , 60-64,M  ,      3108
MS   , 65-69,F  ,      4708
MS   , 65-69,M  ,      2301
MS   , 70-74,F  ,      4058
MS   , 70-74,M  ,      1594
MS   , 75+  ,F  ,     10522
MS   , 75+  ,M  ,      2487
MT   ,  <05 ,F  ,       206
MT   ,  <05 ,M  ,       281
MT   , 05-12,F  ,       426
MT   , 05-12,M  ,       806
MT   , 13-17,F  ,       263
MT   , 13-17,M  ,       541
MT   , 18-21,F  ,       379
MT   , 18-21,M  ,       530
MT   , 22-25,F  ,       401
MT   , 22-25,M  ,       534
MT   , 26-29,F  ,       361
MT   , 26-29,M  ,       420
MT   , 30-39,F  ,       939
MT   , 30-39,M  ,       852
MT   , 40-49,F  ,      1510
MT   , 40-49,M  ,      1121
MT   , 50-59,F  ,      2148
MT   , 50-59,M  ,      1589
MT   , 60-64,F  ,       872
MT   , 60-64,M  ,       528
MT   , 65-69,F  ,       644
MT   , 65-69,M  ,       435
MT   , 70-74,F  ,       489
MT   , 70-74,M  ,       276
MT   , 75+  ,F  ,       690
MT   , 75+  ,M  ,       291
NC   ,  <05 ,F  ,      3079
NC   ,  <05 ,M  ,      4243
NC   , 05-12,F  ,      6425
NC   , 05-12,M  ,     13569
NC   , 13-17,F  ,      4678
NC   , 13-17,M  ,      9773
NC   , 18-21,F  ,      4423
NC   , 18-21,M  ,      7228
NC   , 22-25,F  ,      4256
NC   , 22-25,M  ,      5643
NC   , 26-29,F  ,      3998
NC   , 26-29,M  ,      4780
NC   , 30-39,F  ,     10449
NC   , 30-39,M  ,      9170
NC   , 40-49,F  ,     17316
NC   , 40-49,M  ,     11521
NC   , 50-59,F  ,     22774
NC   , 50-59,M  ,     15961
NC   , 60-64,F  ,      9819
NC   , 60-64,M  ,      5882
NC   , 65-69,F  ,      7943
NC   , 65-69,M  ,      4221
NC   , 70-74,F  ,      6573
NC   , 70-74,M  ,      2994
NC   , 75+  ,F  ,     18064
NC   , 75+  ,M  ,      4661
ND   ,  <05 ,F  ,        71
ND   ,  <05 ,M  ,       111
ND   , 05-12,F  ,       201
ND   , 05-12,M  ,       369
