SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Chicago      ,GENITO     , <18 ,F  ,       192
Chicago      ,GENITO     , <18 ,M  ,       292
Chicago      ,GENITO     ,18-39,F  ,       987
Chicago      ,GENITO     ,18-39,M  ,      1235
Chicago      ,GENITO     ,40-64,F  ,      2181
Chicago      ,GENITO     ,40-64,M  ,      2397
Chicago      ,INFECT     , <18 ,F  ,        85
Chicago      ,INFECT     , <18 ,M  ,        89
Chicago      ,INFECT     ,18-39,F  ,       433
Chicago      ,INFECT     ,18-39,M  ,       637
Chicago      ,INFECT     ,40-64,F  ,      2057
Chicago      ,INFECT     ,40-64,M  ,      2951
Chicago      ,INJURY     , <18 ,F  ,       440
Chicago      ,INJURY     , <18 ,M  ,       616
Chicago      ,INJURY     ,18-39,F  ,      1635
Chicago      ,INJURY     ,18-39,M  ,      3609
Chicago      ,INJURY     ,40-64,F  ,      4453
Chicago      ,INJURY     ,40-64,M  ,      6895
Chicago      ,INTELLECT  , <18 ,F  ,     10549
Chicago      ,INTELLECT  , <18 ,M  ,     17322
Chicago      ,INTELLECT  ,18-39,F  ,     47799
Chicago      ,INTELLECT  ,18-39,M  ,     51873
Chicago      ,INTELLECT  ,40-64,F  ,     34441
Chicago      ,INTELLECT  ,40-64,M  ,     31362
Chicago      ,MENTALOTHER, <18 ,F  ,      1982
Chicago      ,MENTALOTHER, <18 ,M  ,      3950
Chicago      ,MENTALOTHER,18-39,F  ,     11057
Chicago      ,MENTALOTHER,18-39,M  ,      9683
Chicago      ,MENTALOTHER,40-64,F  ,     17107
Chicago      ,MENTALOTHER,40-64,M  ,     10214
Chicago      ,MOOD       , <18 ,F  ,      2552
Chicago      ,MOOD       , <18 ,M  ,      4604
Chicago      ,MOOD       ,18-39,F  ,     29050
Chicago      ,MOOD       ,18-39,M  ,     17010
Chicago      ,MOOD       ,40-64,F  ,     68067
Chicago      ,MOOD       ,40-64,M  ,     26080
Chicago      ,MUSCUL     , <18 ,F  ,       692
Chicago      ,MUSCUL     , <18 ,M  ,       607
Chicago      ,MUSCUL     ,18-39,F  ,      4336
Chicago      ,MUSCUL     ,18-39,M  ,      2550
Chicago      ,MUSCUL     ,40-64,F  ,     40489
Chicago      ,MUSCUL     ,40-64,M  ,     24668
Chicago      ,NEOPLA     , <18 ,F  ,       962
Chicago      ,NEOPLA     , <18 ,M  ,      1219
Chicago      ,NEOPLA     ,18-39,F  ,       890
Chicago      ,NEOPLA     ,18-39,M  ,       915
Chicago      ,NEOPLA     ,40-64,F  ,      3895
Chicago      ,NEOPLA     ,40-64,M  ,      2824
Chicago      ,NERVOUS    , <18 ,F  ,      6635
Chicago      ,NERVOUS    , <18 ,M  ,      8529
Chicago      ,NERVOUS    ,18-39,F  ,     14034
Chicago      ,NERVOUS    ,18-39,M  ,     14962
Chicago      ,NERVOUS    ,40-64,F  ,     15567
Chicago      ,NERVOUS    ,40-64,M  ,     11159
Chicago      ,ORGANIC    , <18 ,F  ,      1195
Chicago      ,ORGANIC    , <18 ,M  ,      2297
Chicago      ,ORGANIC    ,18-39,F  ,      4844
Chicago      ,ORGANIC    ,18-39,M  ,      8182
Chicago      ,ORGANIC    ,40-64,F  ,      7833
Chicago      ,ORGANIC    ,40-64,M  ,     10097
Chicago      ,OTHER      , <18 ,F  ,      7803
Chicago      ,OTHER      , <18 ,M  ,      9197
Chicago      ,OTHER      ,18-39,F  ,       595
Chicago      ,OTHER      ,18-39,M  ,       836
Chicago      ,OTHER      ,40-64,F  ,       303
Chicago      ,OTHER      ,40-64,M  ,       236
Chicago      ,RESPIR     , <18 ,F  ,      1794
Chicago      ,RESPIR     , <18 ,M  ,      3039
Chicago      ,RESPIR     ,18-39,F  ,      1008
Chicago      ,RESPIR     ,18-39,M  ,       692
Chicago      ,RESPIR     ,40-64,F  ,      8581
Chicago      ,RESPIR     ,40-64,M  ,      4690
Chicago      ,SCHIZO     , <18 ,F  ,       229
Chicago      ,SCHIZO     , <18 ,M  ,       374
Chicago      ,SCHIZO     ,18-39,F  ,      6373
Chicago      ,SCHIZO     ,18-39,M  ,     14927
Chicago      ,SCHIZO     ,40-64,F  ,     20369
Chicago      ,SCHIZO     ,40-64,M  ,     24825
Chicago      ,SKIN       , <18 ,F  ,       124
Chicago      ,SKIN       , <18 ,M  ,       173
Chicago      ,SKIN       ,18-39,F  ,       220
Chicago      ,SKIN       ,18-39,M  ,       153
Chicago      ,SKIN       ,40-64,F  ,       469
Chicago      ,SKIN       ,40-64,M  ,       324
Chicago      ,UNKNOWN    , <18 ,F  ,      1196
Chicago      ,UNKNOWN    , <18 ,M  ,      1850
Chicago      ,UNKNOWN    ,18-39,F  ,      1826
Chicago      ,UNKNOWN    ,18-39,M  ,      1886
Chicago      ,UNKNOWN    ,40-64,F  ,     11073
Chicago      ,UNKNOWN    ,40-64,M  ,      8482
Dallas       ,AUTISTIC   , <18 ,F  ,      1907
Dallas       ,AUTISTIC   , <18 ,M  ,      8558
Dallas       ,AUTISTIC   ,18-39,F  ,      1063
Dallas       ,AUTISTIC   ,18-39,M  ,      4434
Dallas       ,AUTISTIC   ,40-64,F  ,        56
Dallas       ,AUTISTIC   ,40-64,M  ,       119
Dallas       ,BLOOD      , <18 ,F  ,       897
Dallas       ,BLOOD      , <18 ,M  ,      1151
Dallas       ,BLOOD      ,18-39,F  ,       882
Dallas       ,BLOOD      ,18-39,M  ,       829
Dallas       ,BLOOD      ,40-64,F  ,       568
Dallas       ,BLOOD      ,40-64,M  ,       286
Dallas       ,CHILDHOOD  , <18 ,F  ,     12184
Dallas       ,CHILDHOOD  , <18 ,M  ,     40584
Dallas       ,CHILDHOOD  ,18-39,F  ,      1396
Dallas       ,CHILDHOOD  ,18-39,M  ,      3955
Dallas       ,CHILDHOOD  ,40-64,F  ,        87
Dallas       ,CHILDHOOD  ,40-64,M  ,        77
Dallas       ,CIRCUL     , <18 ,F  ,       601
Dallas       ,CIRCUL     , <18 ,M  ,       748
Dallas       ,CIRCUL     ,18-39,F  ,      1200
Dallas       ,CIRCUL     ,18-39,M  ,      1030
Dallas       ,CIRCUL     ,40-64,F  ,     14785
Dallas       ,CIRCUL     ,40-64,M  ,     13496
Dallas       ,CONGEN     , <18 ,F  ,      4897
Dallas       ,CONGEN     , <18 ,M  ,      5545
Dallas       ,CONGEN     ,18-39,F  ,      1994
Dallas       ,CONGEN     ,18-39,M  ,      2028
Dallas       ,CONGEN     ,40-64,F  ,       386
Dallas       ,CONGEN     ,40-64,M  ,       253
Dallas       ,DEVELOP    , <18 ,F  ,     13675
Dallas       ,DEVELOP    , <18 ,M  ,     31092
Dallas       ,DEVELOP    ,18-39,F  ,      1262
Dallas       ,DEVELOP    ,18-39,M  ,      2082
Dallas       ,DEVELOP    ,40-64,F  ,       189
Dallas       ,DEVELOP    ,40-64,M  ,       174
Dallas       ,DIGEST     , <18 ,F  ,      1073
Dallas       ,DIGEST     , <18 ,M  ,      1275
Dallas       ,DIGEST     ,18-39,F  ,       561
Dallas       ,DIGEST     ,18-39,M  ,       452
Dallas       ,DIGEST     ,40-64,F  ,      2881
Dallas       ,DIGEST     ,40-64,M  ,      2987
Dallas       ,ENDOCR     , <18 ,F  ,       601
Dallas       ,ENDOCR     , <18 ,M  ,       650
Dallas       ,ENDOCR     ,18-39,F  ,      1689
